txid,size,ts_send,ts_accept,ts_commit,ts_error
91ebbb0f160cf1a34d74b7c152d820da4aa19c23179ed9245a7303db3f652dba,1024,1548410097264,1548410097334,1548410098348,
2ac84713ca0832e74eae79b3f596de86326dfd738432f61edfae3d63ac1b84c8,1024,1548410097286,1548410097355,1548410099457,
d9d8cc53e99a9734ce73a3b987c4cd2b3d4f59c98b0f68a437b4e5db817d3b96,1021,1548410097199,1548410097368,1548410099458,
effe02259f31e3b88f79887e3c11116882e4e12bc362d6cba14122b6a1f9f165,1024,1548410097361,1548410097410,1548410099458,
2932efba434de9633262ac37884b4b91853f6b960775643404b81e0faab58a22,1024,1548410097351,1548410097440,1548410099458,
7976edc40b3f072fe8c6a6f2597dc48f909264de77821614bef3c56a3624b333,1024,1548410097263,1548410097469,1548410099459,
0ad9e1c55e4a42288f559c76feec9e01dee1566aa3cdf0ecab80a9f06d512686,1024,1548410097339,1548410097467,1548410099459,
ed9912b80fbc394363e89d32c3bfec4407a5525cf13a028a2ecd5df5533e37b2,1024,1548410097575,1548410097677,1548410099459,
90fdaf89f517e5afbaf8b88ed3476e602dd285a87be0adf2d96d0cc188e853dc,1024,1548410097560,1548410097683,1548410099460,
173f8d8970925465783a3cf203300f4723830f81506593f3c7ade0e9f325f177,1021,1548410097339,1548410097537,1548410099460,
4d7b1459f76d77621f4a244b11c6f34a739242992bceb843ce8f6ec3201e0e69,1024,1548410097356,1548410097559,1548410099460,
ba50a2f732e1764c752702297a7b8f573033631459975f188e41b9ea3d78a586,1024,1548410097538,1548410097575,1548410099461,
7dd2599437d2497fef5177632303a7b7df09c3d84c8a60794f95859bd52c4f02,1024,1548410097644,1548410097688,1548410099461,
1505e1302201c5ab616f0ac12f3263472e5359b28e4cd5afe46b3963c35b35b4,1024,1548410097368,1548410097647,1548410099461,
3d88817d8787bb8f5bda0326ec5ca01e62ffc4bf217e618742e9c06a42d2dd19,1024,1548410097411,1548410097644,1548410099462,
3851f38293ca47b67c4d9295bff823ea46680df45e8ab61e07607b400c4024ec,1024,1548410097441,1548410097648,1548410099462,
48e2a2b46b91dfb3c3463af483fd65c3cec50dd58f4d672c76ce88e616821aa1,1021,1548410097668,1548410097710,1548410099462,
