txid,size,ts_send,ts_accept,ts_commit,ts_error
60db4c3c71052207737b7704e10734a282052939f4fa2632e50c101e92ed3368,765,1548409861802,1548409862011,1548409863699,
f06b6708af6891e6b42683beccca5a5b9d875475faa771c54345e045590d377b,765,1548409861787,1548409861871,1548409863700,
d027ccb4623c67e236f9bbf929f746fb52ef6ca7d7cdbc4b987063b07e3fa89f,765,1548409861858,1548409861905,1548409863700,
87f62f84c65113029b40c11243ea562220c227324b1f1cad0556105e856ec94e,765,1548409861765,1548409861830,1548409863700,
985bdd3c940023a735df8c6eb7a2a25928c5fcf9939b3aa77b5fe5215e2a8aeb,765,1548409861422,1548409861858,1548409863700,
497c281e7f4ad6997047680f63c5b1664a90a321b744221456b65c4a3b9ab733,765,1548409861445,1548409861862,1548409863701,
bcdafe27bbe546206f046a5ee6e26fedcf76c2a64d8f19ab993d8282d5315be9,765,1548409861500,1548409861856,1548409863701,
25b7ca3fd11d8e990c5cb564ea810125955884bd8af4550975b5244128facd3e,765,1548409861484,1548409861854,1548409863701,
f63ec92406634c221cbc287038311aaad8f99eb4d7bada0e89e2737b19b47907,765,1548409861831,1548409861915,1548409863701,
d87adca6598a2dfb46a6db20b1a2aa3abca1eff24962bf6a00dda341edc10308,765,1548409861966,1548409862075,1548409863701,
5e16b2cb89a90a459e435e0b5bb5546995142ed43f59acfbf9c4b309ad28e770,765,1548409861854,1548409861973,1548409863702,
057b13c86a4883b124af4a1c3b4fe2ced4908ce80868d1f6ed54f5bcc6faf2fd,765,1548409861856,1548409861966,1548409863702,
4e00e37989de94f7d42682cabd628f1a5d5228e8a99bc891f19ed450ce137846,765,1548409861863,1548409861966,1548409863702,
33cef1349e3dedd4a83903194349b6b559cbb2b8260677fe9c0b27b1d627ee61,765,1548409861905,1548409861961,1548409863702,
0f9fb246a15a79acd57dfabb5c47db884228d3825208a254b3eae323ed983a83,765,1548409861988,1548409862116,1548409863702,
464f40699a6bd9e084f32948a9049eced97fcf45d4cc960a8004ca1fbae8fa9c,765,1548409861974,1548409862078,1548409863703,
f261d6bf0c49e7a8ca2dcae80dd8e97eab59a32e06c53ac634207566f7978001,765,1548409861897,1548409861988,1548409863703,
046321386270b964521ac1ca90d9e1ee6379b2c348aa95176d5439ccb414ff5a,765,1548409861967,1548409862032,1548409863703,
3b159b8b2dbccf75cfb421c6d026cb6555eb18645cf1fc522e458f19337d5a98,765,1548409862032,1548409862080,1548409863703,
2f8d677e6d19e1cf3a25c2af815e846e70757b1dfdb79bd625770deb78d6fbe1,765,1548409862094,1548409862183,1548409863703,
8249d5fdc3b261f655a216ce4d63b131769b701b3ebcb78b5e13cd7022a35577,765,1548409862116,1548409862188,1548409863704,
55bef96717cd84615d9314892d2e71cf078d3ee5a1217e3c704c97cabaece76b,765,1548409862011,1548409862086,1548409863704,
343aaf7a7a3c1b72dcf946121df83277bb917b278d03b51b9fd3f9b361f2bfb7,765,1548409862212,1548409862427,1548409863704,
ccb612808b85d061c76bfa2103dd6a3314361f7a19549368b1160922363a0949,765,1548409862255,1548409862427,1548409863704,
7204deaea9e5f57ecaea944e0f5497cd58f7b6ed78daee53271b93afb5b094d6,765,1548409862175,1548409862292,1548409863705,
77fe3882e7ee6b4fa80600e3809d01f9b1eaa66188c3db32a20000e49ac59a84,765,1548409861871,1548409862065,1548409863705,
61e9a5f186ec2465a18dfb710b0f530d5f2d91dcd24ce3f33206e3a28eeaa31d,765,1548409861915,1548409862094,1548409863705,
76963d332012e7f4fa62c1ce12475250bd2008ea2b2ddab11eecd0519051868e,765,1548409862189,1548409862350,1548409863705,
5c28b020f304afdb6abbfdf4fc826b975b223d184af619382ad2582ab1fa771a,765,1548409862078,1548409862344,1548409863705,
191745d92e47e0d2aa2e6d27c13cdab6c27c1619fba5306272c9f731ceb85535,765,1548409862080,1548409862328,1548409863706,
42a5b8f48025e530e5ccf84e31ba6c794654b6d72b50d9a2273473b1c2cc65f2,765,1548409862263,1548409862337,1548409863706,
74ef9ded870b008a41187c55afa92634ef73c751b7164238007a5b86cc7f862d,765,1548409862327,1548409862618,1548409864928,
86747bde31f70b736eaedbac96b328bb9a43a7ee76e9f484fb913dde5e59b84c,765,1548409862258,1548409862327,1548409864928,
3bb8a48bad21ce8a76aef96aa85becaf5560acc807c2fadf3c7623cbbdee995c,765,1548409861962,1548409862174,1548409864929,
